city,country,lat,lon,temp,temp_min,temp_max,pressure,humidity,cloudiness,wind_speed,timestamp
andros,GR,37.8333,24.9333,300.78,298.82,300.78,1014,50,0,4.92,1627420447
port blair,IN,11.6667,92.75,300.73,300.73,300.73,1006,83,95,8.27,1627420448
karratha,AU,-20.7377,116.8463,293.63,293.63,293.63,1013,76,2,3.13,1627420448
campos novos,BR,-27.4017,-51.225,279.53,279.53,279.53,1019,75,55,3.9,1627420450
inhambane,MZ,-23.865,35.3833,291.54,291.54,291.54,1026,63,0,3.65,1627420450
saint-augustin,CA,51.226,-58.6502,290.68,290.68,290.68,1008,91,98,4.13,1627420451
omsukchan,RU,62.5333,155.8,280.28,280.28,280.28,1009,69,99,3.89,1627420369
ilulissat,GL,69.2167,-51.1,284.16,284.16,284.16,1016,66,100,2.57,1627420452
saint george,BM,32.3817,-64.6781,301.02,300.79,301.03,1018,80,75,5.14,1627420328
bluff,NZ,-46.6,168.3333,282.48,282.48,282.48,1011,70,16,7.07,1627420453
half moon bay,US,37.4636,-122.4286,299.02,291.54,310.14,1017,65,40,0.45,1627420454
guerrero negro,MX,27.9769,-114.0611,300.86,300.86,300.86,1013,49,0,6.19,1627420454
borovichi,RU,58.3878,33.9155,291.18,291.18,291.18,1016,66,92,2.5,1627420455
hrodna,BY,53.6884,23.8258,291.85,291.85,291.85,1012,90,65,1.47,1627420456
sitka,US,57.0531,-135.33,288.09,288.09,288.09,1021,77,75,0.0,1627420456
shadrinsk,RU,56.0852,63.6335,283.93,283.93,283.93,1009,76,4,3.64,1627420457
cherskiy,RU,68.75,161.3,275.84,275.84,275.84,1008,82,100,7.25,1627420458
tongren,CN,27.7172,109.1853,297.34,297.34,297.34,999,87,58,0.5,1627420459
foix,FR,42.8333,1.5833,290.53,288.63,291.66,1018,91,90,0.59,1627420459
samoded,RU,63.6083,40.5111,281.13,281.13,281.13,1018,83,8,1.33,1627420460
batticaloa,LK,7.7102,81.6924,300.48,300.48,300.48,1007,69,100,3.51,1627420461
loudi,CN,27.7344,111.9944,297.99,297.99,297.99,998,85,16,1.25,1627420461
leningradskiy,RU,69.3833,178.4167,274.55,274.55,274.55,1002,97,100,3.09,1627420462
severo-kurilsk,RU,50.6789,156.125,287.51,287.51,287.51,1008,96,100,2.09,1627420462
waipawa,NZ,-41.4122,175.5153,278.03,277.65,279.28,1014,83,0,1.23,1627420463
pisco,PE,-13.7,-76.2167,293.18,292.6,293.18,1013,68,0,6.69,1627420464
nisia floresta,BR,-6.0911,-35.2086,298.6,298.6,298.6,1014,84,7,4.1,1627420245
marawi,SD,18.4833,31.8167,309.5,309.5,309.5,1005,15,72,5.69,1627420465
aksarka,RU,66.5606,67.7975,282.0,282.0,282.0,1000,92,100,4.68,1627420466
geraldton,AU,-28.7667,114.6,285.38,285.38,289.33,1013,94,90,3.6,1627420467
kingseat,GB,56.0974,-3.4084,289.29,287.72,290.38,1003,92,0,2.24,1627420468
rossland,CA,49.0831,-117.8022,302.1,301.33,303.49,1018,19,100,0.45,1627420469
puerto madryn,AR,-42.7692,-65.0385,280.12,280.12,280.12,1029,60,53,9.24,1627420252
alofi,NU,-19.0595,-169.9187,298.09,298.09,298.09,1015,83,75,2.57,1627420470
coolum beach,AU,-26.5333,153.1,287.98,285.99,288.19,1018,89,31,2.69,1627420471
saldanha,ZA,-33.0117,17.9442,287.04,287.04,287.04,1021,78,100,4.85,1627420472
bougouni,ML,11.417,-7.479,298.32,298.32,298.32,1011,83,100,2.16,1627420472
mount gambier,AU,-37.8333,140.7667,282.1,282.1,282.1,995,81,75,8.75,1627420473
jacqueville,CI,5.2052,-4.4146,298.1,298.1,298.1,1014,81,72,5.39,1627420473
coihaique,CL,-45.5752,-72.0662,279.12,279.12,280.49,1032,65,0,2.06,1627420474
nuuk,GL,64.1835,-51.7216,286.49,286.49,286.49,1018,47,40,8.23,1627420475
grand gaube,MU,-20.0064,57.6608,293.36,293.36,293.36,1019,90,62,2.24,1627420475
bom conselho,BR,-9.1697,-36.6797,292.36,292.36,292.36,1016,89,51,3.84,1627420477
wamba,CD,2.1484,27.9947,292.37,292.37,292.37,1014,98,100,0.83,1627420478
acapulco,MX,16.8634,-99.8901,303.05,303.05,303.05,1012,74,75,3.09,1627420464
bonavista,CA,48.6499,-53.1147,291.55,291.55,291.55,1013,95,100,6.05,1627420474
ulaanbaatar,MN,47.9077,106.8832,282.22,282.22,282.22,1008,87,0,1.0,1627419907
upernavik,GL,72.7868,-56.1549,283.31,283.31,283.31,1015,74,100,6.26,1627420481
aktau,KZ,43.65,51.2,299.47,299.47,299.47,1011,30,99,8.31,1627420482
extrema,BR,-22.8547,-46.3183,296.27,296.27,297.05,1013,43,3,2.09,1627420482
carballo,ES,43.213,-8.691,290.84,290.24,292.04,1018,90,28,2.07,1627420483
moree,AU,-29.4667,149.85,282.16,282.16,282.16,1016,81,1,6.17,1627420483
kodiak,US,57.79,-152.4072,287.88,287.88,287.88,1020,67,20,3.09,1627420484
bunog,PH,9.1403,117.7817,300.35,300.35,300.35,1007,77,77,5.45,1627420484
zyryanovsk,KZ,49.7386,84.2719,286.9,286.9,286.9,1007,80,94,1.3,1627420485
galashki,RU,43.1136,44.9894,286.63,286.57,287.44,1018,98,100,1.71,1627420486
launceston,AU,-41.45,147.1667,286.51,283.42,286.95,990,78,90,4.02,1627420487
riyadh,SA,24.6877,46.7219,315.23,315.23,315.23,997,12,76,5.61,1627420487
boende,CD,-0.2167,20.8667,297.02,297.02,297.02,1011,39,14,0.3,1627420488
bubaque,GW,11.2833,-15.8333,299.54,299.54,299.54,1013,83,96,3.23,1627420488
tres lagoas,BR,-20.7511,-51.6783,296.9,296.9,296.9,1012,60,70,8.72,1627420382
